,tags/0,tags/1,tags/2,tags/3,tags/4,tags/5,tags/6,tags/7
0,YUMS x2,International food,,,,,,
1,International food,,,,,,,
2,Japanese,,,,,,,
3,Indian,,,,,,,
4,Portuguese,,,,,,,
5,YUMS x2,Italian,,,,,,
6,Pizzeria,,,,,,,
7,YUMS x2,International food,,,,,,
8,Portuguese,,,,,,,
9,MICHELIN,INSIDER,Portuguese,,,,,
10,International,,,,,,,
11,International,,,,,,,
12,Mediterranean,,,,,,,
13,Fusion,,,,,,,
14,Portuguese,,,,,,,
15,INSIDER,Japanese,,,,,,
16,Mediterranean,,,,,,,
17,INSIDER,Portuguese,,,,,,
18,Nepalese,,,,,,,
19,YUMS x2,Italian,,,,,,
20,YUMS x2,MICHELIN,INSIDER,French,,,,
21,Portuguese,,,,,,,
22,YUMS x2,MICHELIN,INSIDER,French,,,,
23,Italian,,,,,,,
24,YUMS x2,MICHELIN,INSIDER,French,,,,
25,YUMS x2,MICHELIN,PAY,INSIDER,Gift cards,Mediterranean,Accepting my yums,Welcome
26,European,Accepting my yums,,,,,,
27,Mediterranean,,,,,,,
28,YUMS x2,MICHELIN,French,Accepting my yums,,,,
29,International,,,,,,,
30,YUMS x2,MICHELIN,INSIDER,Spanish,Welcome,,,
31,YUMS x2,Steakhouse,Accepting my yums,,,,,
32,Portuguese,,,,,,,
33,YUMS x2,MICHELIN,INSIDER,PAY,Gift cards,French,,
34,YUMS x2,MICHELIN,INSIDER,Eco-friendly,French,,,
35,YUMS x2,MICHELIN,British,,,,,
36,INSIDER,Japanese,,,,,,
37,Indian,,,,,,,
38,Portuguese,,,,,,,
39,YUMS x2,MICHELIN,Fusion,Accepting my yums,,,,
40,YUMS x2,MICHELIN,INSIDER,French,,,,
41,YUMS x2,MICHELIN,INSIDER,French,,,,
42,MICHELIN,British,Accepting my yums,,,,,
43,Italian,,,,,,,
44,YUMS x2,Steakhouse,Accepting my yums,,,,,
45,Italian,,,,,,,
46,Italian,,,,,,,
47,INSIDER,International food,,,,,,
48,Mediterranean,,,,,,,
49,Indian,,,,,,,
50,YUMS x2,INSIDER,PAY,Gift cards,French,Accepting my yums,,
51,YUMS x2,MICHELIN,French,,,,,
52,Seafood,,,,,,,
53,YUMS x2,MICHELIN,INSIDER,PAY,Gift cards,French,,
54,YUMS x2,Eritrean,,,,,,
